processor_id,manufacturer_id,processor_family_id,microarchitecture_id,code_name_id,technology_id,cache_on_id,cache_off_id,die_photo_id,model,date,clock,max_clock,hw_nthreadspercore,hw_ncores,tdp,source,bus_width,transistors,die_size,vdd_low,vdd_high
1,1,1,,,10,1,1,,Am386DX,,40.0,,1,1,,Horowitz spreadsheet,32,,,,
2,1,2,,1,9,2,1,,Am486,1993-03-01,40.0,,1,1,3.0,Horowitz spreadsheet,32,0.93,89,5.0,5.0
3,1,3,77,2,5,3,1,,550,,550.0,,1,1,,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03744.html,,,,,
4,1,3,77,2,5,3,1,,600,1999-11-29,600.0,,1,1,,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03746.html,,,,,
5,1,3,77,2,5,3,1,,650,,650.0,,1,1,,http://www.spec.org/cpu95/results/res99q3/cpu95-19990914-03866.html,,,,,
6,1,3,77,2,5,3,1,,750,1999-11-01,750.0,,1,1,,http://www.spec.org/cpu95/results/res99q4/cpu95-19991206-03938.html,,22.0,102,1.8,1.8
7,1,3,77,2,5,3,1,,800,,800.0,,1,1,,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04083.html,,,,,
8,1,3,77,2,5,3,1,,850,,850.0,,1,1,,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04084.html,,,,,
9,1,3,77,2,5,3,1,,900,,900.0,,1,1,,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000328-04179.html,,,,,
10,1,3,77,3,5,4,1,,1000,2000-05-01,1000.0,,1,1,49.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010214-00461.html,32,37.0,120,1.8,1.8
11,1,3,77,3,5,4,1,,1100,,1100.0,,1,1,,http://www.spec.org/cpu2000/results/res2000q3/cpu2000-20000814-00180.html,,,,,
12,1,3,77,3,5,4,1,,1200,,1200.0,,1,1,,http://www.spec.org/cpu2000/results/res2000q4/cpu2000-20001204-00426.html,,,,,
13,1,3,77,3,5,4,1,,1300,,1300.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010311-00523.html,,,,,
14,1,3,77,3,5,4,1,,1333,,1333.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010311-00525.html,,,,,
15,1,3,77,3,5,4,1,,1400,2001-06-01,1400.0,,1,1,56.0,http://www.spec.org/cpu2000/results/res2001q2/cpu2000-20010519-00650.html,,,120,1.8,1.8
16,1,4,7,,3,3,1,,2100+,,1200.0,,1,1,,http://www.spec.org/cpu2006/results/res2008q1/cpu2006-20080102-02943.html,,,,,
17,1,4,7,4,4,3,1,,3000+,,2000.0,,1,1,89.0,http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=129&f1=AMD+Athlon%E2%84%A2&f2=3000+&f3=2000&f4=512&f5=754&f6=CG&f7=130nm+SOI&f8=89+W&f9=1600&f10=False&f11=False&f12=False,64,,,1.5,1.5
18,1,4,7,4,4,5,1,,3200+,,2000.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030908-02471.html,,,,,
19,1,4,7,4,4,5,1,,3500+,,2600.0,,1,1,,http://www.spec.org/cpu2000/results/res2006q4/cpu2000-20060918-07371.html,,,,,
20,1,4,7,5,4,5,1,,FX-51,,2200.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030908-02472.html,,,,,
21,1,4,7,5,4,5,1,,FX-53,,2400.0,,1,1,,http://www.spec.org/cpu2000/results/res2004q3/cpu2000-20040905-03374.html,,,,,
22,1,4,7,4,4,5,1,,FX-55,2004-06-01,2600.0,,1,1,89.0,Horowitz spreadsheet,,105.9,193,1.5,1.5
23,1,4,7,6,3,5,1,,FX-57,2005-06-01,2800.0,,1,1,104.0,Horowitz spreadsheet,,114.0,115,1.4,1.4
24,1,4,7,7,3,6,1,,FX-60,2006-01-01,2600.0,,1,2,110.0,spec website,64,233.0,199,1.3,1.35
25,1,4,7,8,3,6,1,,FX-62,2006-07-01,2800.0,,1,2,125.0,spec website,64,243.0,220,1.35,1.35
26,1,5,7,9,3,7,1,,4200+,2005-05-31,2200.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06864.html,,,,,
27,1,5,7,10,2,7,1,,5000+,2006-06-01,2600.0,,1,2,65.0,Horowitz spreadsheet,64,154.0,126,1.25,1.25
28,1,5,7,10,2,7,1,,6000+,2007-02-01,3100.0,,1,2,125.0,spec website,64,227.0,220,1.3,1.35
29,1,5,7,10,2,6,1,,6400+,2007-08-01,3200.0,,1,2,125.0,spec website,64,227.0,230,1.35,1.4
30,1,5,7,11,2,7,1,,TK-42,2007-08-20,1600.0,,1,2,20.0,http://www.cpu-world.com/CPUs/K8/AMD-Athlon%2064%20X2%203000%2B%20-%20ADE3000HAX5DC.html,,,,1.075,1.125
31,1,5,,12,2,7,1,,QL-65,2008-10-01,2100.0,,1,2,35.0,http://products.amd.com/en-us/NotebookCPUDetail.aspx?id=529&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=,64,,,0.95,1.1
32,1,6,,13,1,7,1,,635,,2900.0,,1,4,95.0,http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=625,64,,,0.85,1.25
33,1,7,6,14,5,4,1,,1200,,1200.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q2/cpu2000-20010519-00651.html,,,,,
34,1,7,6,14,5,4,1,,1500+,,1333.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01026.html,,,,,
35,1,7,6,14,5,4,1,,1600+,,1400.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01028.html,,,,,
36,1,7,6,14,5,4,1,,1800+,,1533.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01011.html,,,,,
37,1,7,6,14,5,4,1,,2000+,,1667.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q1/cpu2000-20020311-01270.html,,,,,
38,1,7,6,14,5,4,1,,2100+,,1733.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q2/cpu2000-20020603-01397.html,,,,,
39,1,7,6,15,4,4,1,,2200+,,1800.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020812-01546.html,,,,,
40,1,7,6,15,4,4,1,,2400+,,2000.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20021118-01838.html,,,,,
41,1,7,6,15,4,4,1,,2600+,,2133.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q1/cpu2000-20030210-01945.html,,,,,
42,1,8,7,16,2,8,1,,7550,2008-12-01,2500.0,,1,2,95.0,spec website,64,450.0,285,1.05,1.325
43,1,8,7,16,2,8,1,,7750,,2700.0,,1,2,95.0,spec website,64,463.0,285,,
44,1,9,6,14,5,4,1,,1500+,,1333.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01018.html,,,,,
45,1,9,6,14,5,4,1,,1600+,,1400.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01020.html,,,,,
